Points_0,Points_1,Points_2,Points_Magnitude,Point ID
-0.881821,-0.873294,1.95858,2.31868,515
-0.882287,-0.872401,1.95839,2.31837,516
-0.882981,-0.871711,1.95824,2.31824,517
-0.883764,-0.871136,1.9581,2.31821,518
-0.884717,-0.870717,1.95798,2.31831,519
-0.885724,-0.870528,1.95789,2.31855,520
-0.886906,-0.870563,1.95783,2.31896,521
-0.887851,-0.870845,1.95786,2.31945,522
-0.888678,-0.871431,1.95791,2.32003,523
-0.889418,-0.872132,1.95799,2.32065,524
-0.890051,-0.872788,1.95808,2.32121,525
-0.890609,-0.873586,1.95819,2.32182,526
-0.89086,-0.874159,1.95829,2.32222,527
-0.891086,-0.875091,1.95846,2.3228,528
-0.891027,-0.876112,1.95863,2.32331,529
-0.890689,-0.877169,1.95881,2.32372,530
-0.890327,-0.877968,1.95899,2.32404,531
-0.889781,-0.878832,1.95917,2.32431,532
-0.889208,-0.879625,1.95934,2.32453,533
-0.888546,-0.880423,1.95953,2.32474,534
-0.887898,-0.881007,1.95967,2.32483,535
-0.887087,-0.881496,1.95979,2.32481,536
-0.886164,-0.881807,1.95989,2.32466,537
-0.885433,-0.881841,1.95993,2.32443,538
-0.884462,-0.881669,1.95995,2.32401,539
-0.883517,-0.881292,1.95993,2.32349,540
-0.882559,-0.880796,1.95988,2.3229,541
-0.881953,-0.880114,1.95979,2.32233,542
-0.919902,-0.880392,1.95797,2.33558,543
-0.920166,-0.881364,1.95813,2.33619,544
-0.920248,-0.881938,1.95824,2.33653,545
-0.920275,-0.882468,1.95833,2.33682,546
-0.92023,-0.883448,1.95852,2.33733,547
-0.920076,-0.884286,1.9587,2.33773,548
-0.881743,-0.879357,1.96038,2.32246,549
-0.881633,-0.878772,1.96028,2.32212,550
-0.881591,-0.877682,1.96009,2.32152,551
-0.881675,-0.876996,1.95996,2.32119,552
-0.881858,-0.875955,1.95976,2.3207,553
-0.88185,-0.875609,1.9597,2.32051,554
-0.881751,-0.874608,1.95952,2.31994,555
-0.881756,-0.874161,1.95944,2.31971,556
-0.88179,-0.873603,1.95934,2.31943,557
-0.882081,-0.872638,1.95916,2.31902,558
-0.88229,-0.872246,1.95908,2.31889,559
-0.882943,-0.871505,1.95891,2.31872,560
-0.883732,-0.870936,1.95877,2.31869,561
-0.884676,-0.870441,1.95864,2.31875,562
-0.885933,-0.87019,1.95853,2.31904,563
-0.886956,-0.870231,1.95849,2.31941,564
-0.887931,-0.870472,1.95849,2.31988,565
-0.888972,-0.871156,1.95855,2.32058,566
-0.889606,-0.871776,1.95862,2.32112,567
-0.890279,-0.872496,1.95873,2.32174,568
-0.89084,-0.873298,1.95884,2.32235,569
-0.891128,-0.873933,1.95895,2.32279,570
-0.891323,-0.874939,1.95912,2.32338,571
-0.891214,-0.875986,1.95931,2.3239,572
-0.890862,-0.877059,1.95953,2.32435,573
-0.89037,-0.8781,1.95973,2.32472,574
-0.890054,-0.878585,1.95983,2.32487,575
-0.88937,-0.879578,1.96005,2.32517,576
